Website,Username,Password
twitter, real_user_name, real_password
discord, real_user_name, real_password
facebook, real_user_name, real_password
googleplay, real_user_name, real_password
realapp1, real_user_name, real_password
ubisoft, real_user_name, real_password
blizzard, real_user_name, real_password
micorsoft, real_user_name, real_password
real_company, real_user_name, real_password
my_game, real_user_name, real_password
telegram, real_user_name, real_password
whatsapp, real_user_name, real_password
spotify, real_user_name, real_password
google, real_user_name, real_password
paint, real_user_name, real_password
anime, real_user_name, real_password
github, real_user_name, real_password
real_website, real_user_name, real_password
another_real_website, real_user_name, real_password
